RSSI.in.dBm,count
-127,9
-125,541
-123,16963
-122,2
-121,160078
-120,335831
-119,274458
-118,154778
-117,144163
-116,28573
-115,121814
-114,87634
-113,110392
-112,104634
-111,107306
-110,54406
-109,70158
-108,37487
-107,57879
-106,37425
-105,31854
-104,15120
-103,25280
-102,10869
-101,19890
-100,12178
-99,12735
-98,7519
-97,10894
-96,3852
-95,9519
-94,4527
-93,4452
-92,2151
-91,3897
-90,1454
-89,2305
-88,1543
-87,3070
-86,875
-85,4297
-84,3150
-83,3676
-82,2775
-81,4664
-80,852
-79,5458
-78,2114
-77,5426
-76,5325
-75,5340
-74,1753
-73,7753
-72,4171
-71,9688
-70,8795
-69,12491
-68,2423
-67,9763
-66,6316
-65,7447
-64,6085
-63,7232
-62,2097
-61,4999
-60,2611
-59,2722
-58,3506
-57,6420
-56,3700
-55,10552
-54,2617
-53,12299
-52,9967
-51,11903
-50,4592
-49,16961
-48,5522
-47,12969
-46,9207
-45,9863
-44,2162
-43,16997
-42,17611
-41,14329
-40,13140
-39,15983
-38,3720
-37,15868
-36,11537
-35,7583
-34,4964
-33,5429
-32,937
-31,12550
-30,24292
-29,33556
-28,23104
-27,23934
-26,4637
