day,count
1523743200,20301
1523829600,26143
1523916000,26190
1524002400,27435
1524088800,27853
1524175200,26709
1524261600,25983
1524348000,25596
1524434400,17644
1524520800,2827
1524607200,14515
1524693600,27598
1524780000,26534
1524866400,26942
1524952800,28412
1525039200,26997
1525125600,24958
1525212000,24253
1525298400,25247
1525384800,24454
1525471200,25064
1525557600,24742
1525644000,26999
1525730400,29585
1525816800,21089
1525903200,16908
1525989600,17455
1526076000,16904
1526162400,16998
1526248800,16805
1526335200,15678
1526421600,2308
1526508000,4956
1526594400,10
1526853600,9964
1526940000,16064
1527026400,16284
1527112800,13231
